APP_name	Res_base	ID	ID_name	size	data	res_filename	color_num	ABMAB2_converted
APP_MRE	4802	4804	IMAGE_MRE_LARGE_ICON	799	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_VXP.GIF	..\mre\res\mre.res	-1	N
APP_MRE	4802	4805	IMAGE_MRE_SMALL_ICON	360	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\FILEMANAGER\\FM_SMALL_VXP.BMP	..\mre\res\mre.res	29	Y
APP_MRE	4802	4806	IMAGE_MRE_EDITOR_TITLE	0	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\TITLEBAR\\TB_MRE_EDITOR.PBM	..\mre\res\mre.res	-1	N
APP_MRE	4802	4807	IMG_ID_AM_APP_MRE_DEFAULT	1454	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\MREAPP\\AM_APP_DEFAULT.GIF	..\mre\res\mre.res	-1	N
APP_IMAGEVIEWER	34128	34130	IMG_ID_IMGVIEW_VUI_MAIN_MENU_APP_ICON	3164	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\VUI\\LAUNCHER\\MAINMENU\\ICONS\\IMAGEVIEWER.PNG	.\mtkapp\ImageView\ImageViewRes\imgview.res	769	Y
APP_IMAGEVIEWER	34128	34131	IMG_ID_IV_ERROR	526	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\CAMERA\\IMAGEVIEWER\\IV_ERROR.BMP	.\mtkapp\ImageView\ImageViewRes\imgview.res	10	Y
APP_IMAGEVIEWER	34128	34132	IMG_ID_IV_LOAD	324	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\CAMERA\\IMAGEVIEWER\\IV_LOAD.BMP	.\mtkapp\ImageView\ImageViewRes\imgview.res	9	Y
APP_SOUNDRECORDER	34471	34472	IMG_ID_SNDREC_VUI_MAIN_MENU_APP_ICON	1324	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\VUI\\LAUNCHER\\MAINMENU\\ICONS\\SOUNDRECORDER.PNG	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	208	Y
APP_SOUNDRECORDER	34471	34473	IMG_ID_SNDREC_MAIN_ICON	246	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SOUNDRECORDER\\SB_SR.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	23	Y
APP_SOUNDRECORDER	34471	34474	IMG_ID_SNDREC_BACKGROUND	1255	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_BG.GIF	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	-1	N
APP_SOUNDRECORDER	34471	34475	IMG_ID_SNDREC_ANIMAL	2105	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_RECORDING.GIF	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	-1	N
APP_SOUNDRECORDER	34471	34476	IMG_ID_SNDREC_BUTTON_REC_UP	250	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_RECORD_UP.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	5	Y
APP_SOUNDRECORDER	34471	34477	IMG_ID_SNDREC_BUTTON_REC_DN	256	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_RECORD_DOWN.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	6	Y
APP_SOUNDRECORDER	34471	34478	IMG_ID_SNDREC_BUTTON_REC_P_UP	286	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_R_PAUSE_UP.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	5	Y
APP_SOUNDRECORDER	34471	34479	IMG_ID_SNDREC_BUTTON_REC_P_DN	290	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_R_PAUSE_DOWN.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	6	Y
APP_SOUNDRECORDER	34471	34480	IMG_ID_SNDREC_BUTTON_PLAY_UP	256	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_PLAY_UP.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	5	Y
APP_SOUNDRECORDER	34471	34481	IMG_ID_SNDREC_BUTTON_PLAY_DN	260	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_PLAY_DOWN.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	6	Y
APP_SOUNDRECORDER	34471	34482	IMG_ID_SNDREC_BUTTON_PLAY_P_UP	286	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_PAUSE_UP.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	5	Y
APP_SOUNDRECORDER	34471	34483	IMG_ID_SNDREC_BUTTON_PLAY_P_DN	290	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_PAUSE_DOWN.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	6	Y
APP_SOUNDRECORDER	34471	34484	IMG_ID_SNDREC_BUTTON_PREV_UP	294	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_PREVIOUS_UP.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	5	Y
APP_SOUNDRECORDER	34471	34485	IMG_ID_SNDREC_BUTTON_PREV_DN	300	..\\..\\CUSTOMER\\IMAGES\\PLUTO240X320\\MAINLCD\\SNDREC\\SR_PREVIOUS_DOWN.BMP	.\mtkapp\Sndrec\SndrecRes\Sndrec.res	6	Y
