ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_ID_EM_AUD_SPH_ENH_COMMON_PARA	11985	Common parameters	36	
STR_ID_EM_AUD_SPH_ENH_BT_EARPHONE_MODE	11986	BT earphone mode	34	
STR_ID_EM_AUD_SPH_ENH_BT_CORDLESS_MODE	11987	BT cordless mode	34	
STR_ID_EM_AUD_SPH_ENH_AUX1_MODE	11988	AUX1 mode	20	
STR_ID_EM_AUD_SPH_ENH_AUX2_MODE	11989	AUX2 mode	20	
STR_ID_EM_AUD_SPH_ENH_AUX3_MODE	11990	AUX3 mode	20	
STR_ID_EM_AUD_PARAMETER	11991	Parameter	20	
STR_ID_EM_AUD_RING_TONE	11992	Ring tone	20	
STR_ID_EM_AUD_DEBUG_INFO	11993	Debug info	22	
STR_ID_EM_AUD_AUTO_VM_SETTING	11994	Auto record setting	40	
STR_ID_EM_AUD_VM_SUPPORT	11995	VM Support	22	
STR_ID_EM_AUD_AUTO_VM_SPH	11996	Auto Speech Record	38	
STR_ID_EM_GPRS_ACT	11997	GPRS act	18	
STR_ID_EM_GPRS_AUTO_ATTACH	11998	Attach	14	
STR_ID_EM_MISC	11999	Misc.	12	
STR_ID_EM_MISC_RAM_TEST	12000	RAM test	18	
STR_ID_EM_MISC_MEMORY_DUMP	12001	Memory dump	24	
STR_ID_EM_MISC_INTERNET_APPLICATION	12002	Internet application	42	
STR_ID_EM_MISC_INET_APP_USER_AGENT	12003	User agent	22	
STR_ID_EM_MISC_INET_APP_ACCEPT_HEADER	12004	Accept header	28	
STR_ID_EM_MISC_INET_APP_MMS_VERSION	12005	MMS version	24	
STR_ID_EM_MISC_INET_APP_AH_WAP_1_2_1	12006	WAP 1.2.1	20	
STR_ID_EM_MISC_INET_APP_AH_WAP_2_0	12007	WAP 2.0	16	
STR_ID_EM_MISC_INET_APP_AH_WML	12008	WML	8	
STR_ID_EM_MISC_INET_APP_AH_XHTML	12009	XHTML	12	
STR_ID_EM_MISC_INET_APP_AH_HTML	12010	HTML	10	
STR_ID_EM_MISC_INET_APP_MV_MMS_1_0	12011	MMS 1.0	16	
STR_ID_EM_MISC_INET_APP_MV_MMS_1_1	12012	MMS 1.1	16	
STR_ID_EM_MISC_INET_APP_MV_MMS_1_2	12013	MMS 1.2	16	
STR_ID_EM_MISC_INET_APP_USER_AGENT_STRING	12014	User agent string	36	
STR_ID_EM_MISC_INET_APP_USER_AGENT_PROFILE	12015	User agent profile	38	
STR_ID_EM_MRE	12016	MRE	8	
STR_ID_EM_BT_BD_ADDR	12017	BD address	22	
STR_ID_EM_RF_TEST_TOOL	12018	RF test tool	26	
STR_ID_EM_RF_TEST_GSM_CONFIRM_NOTIFY_TEST	12019	Wifi must be off. Will power off after test.	90	
STR_ID_EM_RF_TEST_TOOL_GSM	12020	GSM	8	
STR_ID_EM_RF_GSM_TX_TEST	12021	TX test	16	
STR_ID_EM_RF_GSM_RX_TEST	12022	RX test	16	
STR_ID_EM_RF_GSM_POWER_SCAN	12023	Power scan	22	
STR_ID_EM_AUD_SET_SUCCES	12024	Successfully Set!!	38	
STR_ID_EM_AUD_SET_ERROR	12025	Set Error!!	24	
STR_ID_EM_RF_GSM_TX_BAND	12026	Band	10	
STR_ID_EM_RF_GSM_TX_BAND_GSM850	12027	GSM850	14	
STR_ID_EM_RF_GSM_TX_BAND_GSM900	12028	GSM900	14	
STR_ID_EM_RF_GSM_TX_BAND_DCS1800	12029	DCS1800	16	
STR_ID_EM_RF_GSM_TX_BAND_PCS1900	12030	PCS1900	16	
STR_ID_EM_RF_GSM_TX_ARFCN	12031	ARFCN	12	
STR_ID_EM_RF_GSM_TX_TSC	12032	TSC	8	
STR_ID_EM_RF_GSM_TX_PCL	12033	PCL	8	
STR_ID_EM_RF_GSM_TX_AFC	12034	AFC	8	
STR_ID_EM_RF_GSM_TX_BURST_TYPE	12035	Burst type	22	
STR_ID_EM_RF_GSM_TX_BURST_NB	12036	NB	6	
STR_ID_EM_RF_GSM_TX_BURST_AB	12037	AB	6	
STR_ID_EM_RF_GSM_TX_GAIN	12038	Gain	10	
STR_ID_EM_RF_GSM_RX_BURST_BURST_RX	12039	Burst RX	18	
STR_ID_FM_VBAT	13482	ADC_VBAT	18	
STR_ID_FM_BTEMP	13483	ADC_VBATTMP	24	
STR_ID_FM_VAUX	13484	ADC_VAUX	18	
STR_ID_FM_CURRENT	13485	ADC_VISENSE	24	
STR_ID_FM_VCHGR	13486	ADC_VCHGR	20	
STR_ID_FM_AUTO_TEST_ENTER_PRIORITY	13490	Enter priority	30	
STR_DEF_ENCODING_TYPE_UCS2	25414	UCS2	10	
STR_DEF_ENCODING_TYPE_ASCII	25415	ASCII	12	
STR_DEF_ENCODING_TYPE_UTF_8	25416	UTF-8	12	
STR_DEF_ENCODING_TYPE_UTF_16LE	25417	UTF-16LE	18	
STR_DEF_ENCODING_TYPE_UTF_16BE	25418	UTF-16BE	18	
STR_DEF_ENCODING_TYPE_WINDOWS_1252	25419	Windows-1252	26	
STR_PLMN_NAME_10	26086	CSL	8	
STR_PLMN_NAME_11	26087	3 HK	10	
STR_PLMN_NAME_20	26096	Vodafone	18	
STR_PLMN_NAME_21	26097	Airtel	14	
STR_PLMN_NAME_22	26098	IDEA	10	
STR_PLMN_NAME_23	26099	Spice	12	
STR_PLMN_NAME_24	26100	Aircel	14	
STR_PLMN_NAME_25	26101	Reliance	18	
STR_PLMN_NAME_26	26102	BPL MOBILE	22	
STR_PLMN_NAME_27	26103	CellOne	16	
STR_PLMN_NAME_28	26104	Dolphin	16	
STR_PLMN_NAME_29	26105	Oasis	12	
STR_PLMN_NAME_30	26106	IND TATA	18	
STR_PLMN_NAME_31	26107	Etisalat	18	
STR_PLMN_NAME_32	26108	AWCC	10	
STR_PLMN_NAME_33	26109	Roshan	14	
STR_PLMN_NAME_34	26110	Areeba	14	
STR_PLMN_NAME_35	26111	Etisalat Af	24	
STR_PLMN_NAME_36	26112	GramenPhone	24	
STR_PLMN_NAME_37	26113	AKTel	12	
STR_PLMN_NAME_38	26114	Banglalink	22	
STR_PLMN_NAME_39	26115	Teletalk	18	
STR_PLMN_NAME_40	26116	Warid Telecom	28	
STR_PLMN_NAME_41	26117	BATELCO	16	
STR_PLMN_NAME_42	26118	zain BH	16	
STR_PLMN_NAME_43	26119	B-Mobile	18	
STR_PLMN_NAME_44	26120	TashiCell	20	
STR_PLMN_NAME_45	26121	DSTCom	14	
STR_PLMN_NAME_46	26122	MOBITEL - KHM	28	
STR_PLMN_NAME_47	26123	hello	12	
STR_PLMN_NAME_48	26124	CADCOMMS	18	
STR_PLMN_NAME_49	26125	STARCELL	18	
STR_PLMN_NAME_50	26126	CAMSHIN	16	
STR_PLMN_NAME_51	26127	TLS-TT	14	
STR_PLMN_NAME_52	26128	INDOSAT	16	
STR_PLMN_NAME_53	26129	axis	10	
STR_PLMN_NAME_54	26130	Telkomsel	20	
STR_PLMN_NAME_55	26131	XL	6	
STR_PLMN_NAME_56	26132	3	4	STR_GLOBAL_3
STR_PLMN_NAME_57	26133	MCI	8	
STR_PLMN_NAME_58	26134	KISH	10	
STR_PLMN_NAME_59	26135	MTCE	10	
STR_PLMN_NAME_60	26136	Taliya	14	
STR_PLMN_NAME_61	26137	IranCell	18	
STR_PLMN_NAME_62	26138	ASIACELL	18	
STR_PLMN_NAME_63	26139	zain IQ	16	
STR_PLMN_NAME_64	26140	Orange	14	
STR_PLMN_NAME_65	26141	Cellcom	16	
STR_PLMN_NAME_66	26142	Pelephone	20	
STR_PLMN_NAME_67	26143	eMobile	16	
STR_PLMN_NAME_68	26144	NTT DoCoMo	22	
STR_PLMN_NAME_69	26145	Softbank	18	
STR_PLMN_NAME_70	26146	zain JO	16	
STR_PLMN_NAME_71	26147	Umniah	14	
STR_PLMN_NAME_72	26148	Orange JO	20	
STR_PLMN_NAME_73	26149	KTF	8	
STR_PLMN_NAME_74	26150	SK Telecom	22	
STR_PLMN_NAME_75	26151	zain KW	16	
STR_PLMN_NAME_76	26152	Wataniya	18	
STR_PLMN_NAME_77	26153	BITEL	12	
STR_PLMN_NAME_78	26154	MEGACOM	16	
STR_PLMN_NAME_79	26155	LAO GSM	16	
STR_PLMN_NAME_80	26156	ETL	8	
STR_PLMN_NAME_81	26157	LAO-ASIA	18	
STR_PLMN_NAME_82	26158	TANGO LAO	20	
STR_PLMN_NAME_83	26159	Alfa	10	
STR_PLMN_NAME_84	26160	MY MAXIS	18	
STR_PLMN_NAME_85	26161	MY CELCOM 3G	26	
STR_PLMN_NAME_86	26162	DiGi	10	
STR_PLMN_NAME_87	26163	U MOBILE	18	
STR_PLMN_NAME_88	26164	MY CELCOM	20	
STR_PLMN_NAME_89	26165	Dhiraagu	18	
STR_PLMN_NAME_90	26166	WMOBILE	16	
STR_PLMN_NAME_91	26167	Unitel	14	
STR_PLMN_NAME_92	26168	MobiCom	16	
STR_PLMN_NAME_93	26169	MPT	8	
STR_PLMN_NAME_94	26170	NTC	8	
STR_PLMN_NAME_95	26171	Mero Mobile	24	
STR_PLMN_NAME_96	26172	OMAN MOBILE	24	
STR_PLMN_NAME_97	26173	nawras	14	
STR_PLMN_NAME_98	26174	Mobilink	18	
STR_PLMN_NAME_99	26175	PK-UFONE	18	
STR_PLMN_NAME_100	26176	ZONG	10	
STR_PLMN_NAME_101	26177	Telenor PK	22	
STR_PLMN_NAME_102	26178	WaridTel	18	
STR_PLMN_NAME_103	26179	ISLACOM	16	
STR_PLMN_NAME_104	26180	Globe Telecom	28	
STR_PLMN_NAME_105	26181	SMART	12	
STR_PLMN_NAME_106	26182	Sun Cellular	26	
STR_PLMN_NAME_107	26183	Red Mobile	22	
